id,manual terms,role,feature,benefit,
927,,grocery shopper,to be alerted when I am running low on specific common food items either in my fridge or cupboards,I don't have to constantly update a grocery list but can rely on preprogrammed settings instead.,
928,,home occupant,"My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,",home and/or vehicle-related thefts can be minimized either when we are home or are not.,
929,,home owner,to have logs of when someone steps onto my property via sensors.,I know if someone is coming and going.,
930,,home occupant,the temperature in my home to be monitored inside and outside the home and compare it to temperature settings,I can monitor any deficiencies in insulation in my home and rectify them,
931,,home owner,Retina scan for front door, Nobody else can get in.,
932,,media watcher,my smart home to make reccomendations of the up to date (new) movies that I may enjoy and remind me of shows I have recorded on my dvr.,I can keep up to date on my media.,
933,,tv viewer,to lower and raise the volume on my TV verbally from any room in the house,I can save time and physical energy,
934,,home occupant,my smart home to alert me when it is time for a meal.,I can keep up with a consisting meal schedule.,
935,,home owner," my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,", I do not have to manually adjust these items each evening,
937,,home occupant,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not,
938,,home occupant,Room thermostats,Protect the room temperature,
939,,home occupant,regulate my bore well motor,Monitor the start and stop the motor running automatically,
940,,home occupant,Smoke identifier ,save the unwanted fire .,
941,,home occupant,floor heating controller,Maintain the floor temperature and good for human life,
942,,home occupant,Switch on all electric goods during enter the room,Automatic all electric equipments,
943,,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each ",easy open and close,
944,,home occupant,Automatic fan regulation,when enter the room and sit down more than 5 min,
945,,home occupant,wall mount transmitter,Automatic  regulate the transmitter,
946,,a teacher,daily syllabus to be studied with systematic alerts,easy to teach the students,
947,,energy saver,it to check each room and turn off lights if a person is not in the room,save the electricity,
948,,a farmer,to regulate the motor ,it is very useful for save the water and electricity,
